,date,province,confirmed,cured,dead,nowc
208,2020-01-25,宁夏回族自治区,4,0,0,4
209,2020-01-25,新疆维吾尔自治区,4,0,0,4
210,2020-01-25,台湾省,3,0,0,3
211,2020-01-25,香港特别行政区,5,0,0,5
212,2020-01-25,澳门特别行政区,2,0,0,2
213,2020-01-26,北京市,68,0,0,68
214,2020-01-26,天津市,14,0,0,14
215,2020-01-26,河北省,18,0,1,17
216,2020-01-26,山西省,13,0,0,13
217,2020-01-26,内蒙古自治区,11,0,0,11
218,2020-01-26,辽宁省,22,0,0,22
219,2020-01-26,吉林省,6,0,0,6
220,2020-01-26,黑龙江省,21,0,1,20
221,2020-01-26,上海市,53,1,1,51
222,2020-01-26,江苏省,47,1,0,46
223,2020-01-26,浙江省,128,1,0,127
224,2020-01-26,安徽省,70,0,0,70
225,2020-01-26,福建省,35,0,0,35
226,2020-01-26,江西省,48,0,0,48
227,2020-01-26,山东省,63,0,0,63
228,2020-01-26,河南省,128,0,1,127
229,2020-01-26,湖北省,1423,44,76,1303
230,2020-01-26,湖南省,100,0,0,100
231,2020-01-26,广东省,146,2,0,144
232,2020-01-26,广西壮族自治区,46,0,0,46
233,2020-01-26,海南省,31,0,1,30
234,2020-01-26,重庆市,110,0,0,110
235,2020-01-26,四川省,69,0,0,69
236,2020-01-26,贵州省,7,0,0,7
237,2020-01-26,云南省,19,0,0,19
238,2020-01-26,陕西省,35,0,0,35
239,2020-01-26,甘肃省,14,0,0,14
240,2020-01-26,青海省,4,0,0,4
241,2020-01-26,宁夏回族自治区,7,0,0,7
242,2020-01-26,新疆维吾尔自治区,5,0,0,5
243,2020-01-26,台湾省,4,0,0,4
244,2020-01-26,香港特别行政区,8,0,0,8
245,2020-01-26,澳门特别行政区,5,0,0,5
246,2020-01-27,北京市,80,2,1,77
247,2020-01-27,天津市,23,0,0,23
248,2020-01-27,河北省,33,0,1,32
249,2020-01-27,山西省,20,0,0,20
250,2020-01-27,内蒙古自治区,13,0,0,13
251,2020-01-27,辽宁省,27,0,0,27
252,2020-01-27,吉林省,8,0,0,8
253,2020-01-27,黑龙江省,30,0,1,29
254,2020-01-27,上海市,66,3,1,62
255,2020-01-27,江苏省,70,1,0,69
256,2020-01-27,浙江省,173,1,0,172
257,2020-01-27,安徽省,106,0,0,106
258,2020-01-27,福建省,59,0,0,59
259,2020-01-27,江西省,72,0,0,72
260,2020-01-27,山东省,63,0,0,63
261,2020-01-27,河南省,168,0,1,167
262,2020-01-27,湖北省,2714,47,100,2567
263,2020-01-27,湖南省,143,0,0,143
264,2020-01-27,广东省,188,4,0,184
265,2020-01-27,广西壮族自治区,51,0,0,51
266,2020-01-27,海南省,40,0,1,39
267,2020-01-27,重庆市,132,0,0,132
268,2020-01-27,四川省,90,0,0,90
269,2020-01-27,贵州省,9,0,0,9
270,2020-01-27,云南省,44,0,0,44
271,2020-01-27,陕西省,46,0,0,46
272,2020-01-27,甘肃省,19,0,0,19
273,2020-01-27,青海省,6,0,0,6
